category,template,source,target,occurrences,support,trace_ids
existential,absence,A,,2,0.6,1|5|4
existential,absence,A,,3,0.2,3
existential,absence,A,,4,0.2,2
existential,absence,B,,2,0.2,4
existential,absence,B,,4,0.4,2|5
existential,absence,C,,2,0.4,3|1
existential,absence,C,,3,0.4,5|4
existential,absence,D,,3,0.2,1
existential,absence,D,,4,0.2,2
existential,absence,D,,5,0.2,4
existential,absence,E,,2,0.2,4
existential,absence,E,,3,0.2,3
existential,exactly,A,,1,0.6,4|5|1
existential,exactly,A,,2,0.2,3
existential,exactly,A,,3,0.2,2
existential,exactly,B,,1,0.2,4
existential,exactly,B,,3,0.4,2|5
existential,exactly,C,,1,0.4,3|1
existential,exactly,C,,2,0.4,4|5
existential,exactly,D,,2,0.2,1
existential,exactly,D,,3,0.2,2
existential,exactly,D,,4,0.2,4
existential,exactly,E,,1,0.2,4
existential,exactly,E,,2,0.2,3
existential,existence,A,,1,0.6,1|5|4
existential,existence,A,,2,0.2,3
existential,existence,A,,3,0.2,2
existential,existence,B,,1,0.2,4
existential,existence,B,,3,0.4,2|5
existential,existence,C,,1,0.4,3|1
existential,existence,C,,2,0.4,5|4
existential,existence,D,,2,0.2,1
existential,existence,D,,3,0.2,2
existential,existence,D,,4,0.2,4
existential,existence,E,,1,0.2,4
existential,existence,E,,2,0.2,3
ordered,alternate_precedence,A,C,,0.2,1
ordered,alternate_precedence,B,A,,0.4,5|4
ordered,alternate_precedence,B,E,,0.2,4
ordered,alternate_precedence,C,A,,0.2,4
ordered,alternate_precedence,D,A,,0.4,1|4
ordered,alternate_precedence,D,B,,0.2,4
ordered,alternate_precedence,D,C,,0.4,1|4
ordered,alternate_precedence,D,E,,0.2,4
ordered,alternate_precedence,E,A,,0.4,3|4
ordered,alternate_response,A,B,,0.2,5
ordered,alternate_response,A,C,,0.6,5|1|4
ordered,alternate_response,A,D,,0.4,1|4
ordered,alternate_response,B,A,,0.2,4
ordered,alternate_response,B,C,,0.2,4
ordered,alternate_response,B,D,,0.2,4
ordered,alternate_response,B,E,,0.2,4
ordered,alternate_response,C,A,,0.2,3
ordered,alternate_response,C,D,,0.2,4
ordered,alternate_response,C,E,,0.2,3
ordered,alternate_response,E,A,,0.4,3|4
ordered,alternate_response,E,C,,0.2,4
ordered,alternate_response,E,D,,0.2,4
ordered,chain_precedence,B,A,,0.2,5
ordered,chain_precedence,B,E,,0.2,4
ordered,chain_precedence,D,A,,0.4,1|4
ordered,chain_precedence,D,B,,0.2,4
ordered,chain_precedence,D,C,,0.2,1
